step,t,atom_id,mol_id,x,y,z,S_i,S_avg,c_label
1,13000000,4876,33.0,8.84177,12.6419,10.3531,-4.157,-4.654,0
1,13000000,8388,56.0,4.6263,11.4035,13.7758,-3.254,-5.239,0
1,13000000,1530,11.0,9.80416,1.72445,5.38363,-4.916,-6.638,1
1,13000000,8392,56.0,4.36934,10.2742,14.053,-4.734,-5.322,0
1,13000000,8391,56.0,4.68796,10.4777,14.1792,-4.985,-5.321,0
1,13000000,4465,30.0,2.29421,13.2025,9.74692,-6.588,-5.343,0
1,13000000,4466,30.0,2.10934,13.2675,10.0717,-6.566,-5.334,0
1,13000000,8400,56.0,3.61991,7.88261,13.6341,-4.589,-5.225,0
1,13000000,1447,10.0,2.79382,9.06058,10.6467,-8.52,-5.272,0
1,13000000,4467,30.0,1.7236,13.2367,10.0694,-4.541,-5.239,0
1,13000000,8659,58.0,1.81018,13.613,11.5883,-5.048,-5.162,0
1,13000000,4893,33.0,10.7503,10.7577,14.0956,-5.811,-5.051,0
1,13000000,1452,10.0,3.64438,8.06218,11.6356,-4.862,-5.407,0
1,13000000,8658,58.0,1.49396,13.3947,11.6278,-6.508,-5.149,0
1,13000000,3177,22.0,4.83512,8.26313,13.2583,-8.299,-5.343,0
1,13000000,866,6.0,11.309,1.58937,9.05555,-10.303,-8.114,1
1,13000000,8660,58.0,2.03304,13.4895,11.2887,-3.874,-5.315,0
1,13000000,1446,10.0,2.89973,9.30268,10.3541,-6.695,-5.37,0
1,13000000,2286,16.0,3.0842,15.3256,14.2811,-3.419,-4.996,0
1,13000000,2284,16.0,2.71832,15.2139,13.7485,-4.201,-4.842,0
1,13000000,862,6.0,12.0437,0.55167,8.83123,-9.255,-7.181,1
1,13000000,6602,45.0,6.90401,8.76142,2.13595,-9.028,-5.174,0
1,13000000,6604,45.0,7.03597,8.77252,2.77274,-4.689,-5.222,0
1,13000000,1450,10.0,3.3514,8.41426,11.1675,-4.008,-5.335,0
1,13000000,1451,10.0,3.3219,8.26381,11.5455,-3.913,-5.341,0
1,13000000,4469,30.0,1.20066,13.3864,10.4428,-7.917,-5.144,0
1,13000000,4470,30.0,1.03398,13.3599,10.8084,-5.953,-5.107,0
1,13000000,75,1.0,10.8113,2.86749,4.02087,-5.935,-6.449,1
1,13000000,76,1.0,10.6514,3.14275,4.25095,-6.153,-6.556,1
1,13000000,74,1.0,11.1135,2.66006,4.1763,-6.865,-6.444,1
1,13000000,4471,30.0,0.643931,13.2778,10.7451,-6.897,-5.093,0
1,13000000,4468,30.0,1.58158,13.2862,10.4378,-5.433,-5.211,0
1,13000000,4472,30.0,0.411395,13.1605,11.0541,-4.827,-4.97,0
1,13000000,4473,30.0,15.9709,13.1304,10.9487,-4.974,-5.053,0
