atom_id,umap1,umap2,S_avg,c_label
304,1.2776173,1.7029022,-5.851,0
305,1.2041177,0.6899215,-5.783,0
306,0.7037263,-0.14550896,-5.613,0
307,0.75772023,-0.089085035,-5.642,0
308,-0.14934476,6.0873218,-5.927,0
309,1.6783936,2.550579,-5.977,1
310,1.4367574,2.1722686,-5.7,0
311,-0.86672944,-1.0333385,-5.819,0
312,-0.14254633,3.9053297,-5.758,0
313,-1.8473743,3.4615743,-5.853,1
314,1.7448775,2.645882,-5.811,1
315,-0.24576685,1.8495568,-5.661,0
316,-1.0651314,4.476733,-5.593,0
317,-1.9998704,3.456969,-5.291,0
318,-1.6911904,0.6402401,-5.216,0
319,-2.4885042,-0.43678287,-5.193,0
320,-0.09254905,0.6171684,-5.057,0
321,-1.8186995,1.2774187,-5.031,0
322,-0.8152918,3.1774845,-5.054,0
323,-1.4090736,0.7774014,-5.036,0
324,-0.43294835,-0.4804079,-5.019,0
325,-0.79900813,-0.99035996,-4.991,0
326,-1.9910463,-0.5466847,-5.025,0
327,-2.5121102,-0.2821928,-5.052,0
328,-0.70329124,-0.41945693,-5.044,0
329,0.3309846,0.18443379,-5.015,0
330,-3.0279796,0.5548308,-5.101,0
