row,umap1,umap2
2445,3.0287013,0.38010198
2446,3.0887952,0.41079006
2447,-2.116969,-0.12834856
2448,0.47300407,-0.32894143
2449,0.61830634,1.5694782
2450,-1.6550434,2.3641825
2451,6.044136,0.8717006
2452,3.2268612,7.65461
2453,4.207328,0.4996401
2454,-3.1510434,3.2025585
2455,-1.205837,0.10601158
2456,0.5374925,-0.14367534
2457,-1.8126128,1.0018886
2458,2.7161417,-0.38761148
2459,3.6878111,0.36423576
2460,-2.921581,0.8003871
2461,-2.0102532,0.15357453
2462,2.8904107,-0.93407863
2463,-1.1699326,-0.44845688
2464,-2.9068785,2.676539
2465,3.568053,0.7669254
2466,1.8750012,6.580014
2467,1.8652602,7.692628
2468,4.8778706,1.4838847
2469,-2.2240815,2.5968668
2470,-3.1320019,3.0234005
2471,2.4861114,-0.73196083
2472,0.25763252,-1.0363526
2473,-1.2122291,-0.80651844
2474,-0.29493648,-0.34453413
2475,2.3728063,-0.5648955
2476,-2.518126,0.37169975
2477,-3.3012273,1.1798356
2478,3.770327,-0.2854714
2479,3.0362017,-0.26195887
2480,-1.2398002,-0.43832844
2481,-0.15154476,-0.5257463
2482,0.59161973,0.9861022
2483,0.8379689,0.1592276
2484,-0.3470732,-0.025109781
2485,-1.6366587,1.416676
2486,4.2944107,0.1003398
2487,3.5207021,5.3205357
2488,2.2165587,3.440711
2489,4.889028,0.33660966
2490,-1.0600339,0.17767477
2491,-2.6790338,0.7491669
2492,1.2990845,-1.0820174
2493,1.6803811,-0.44490978
2494,1.7424363,-0.38460585
2495,3.700006,2.6560743
2496,2.323672,3.1533265
2497,3.929256,0.43536296
2498,-0.9890284,1.6350306
2499,-2.752201,5.120934
2500,5.57275,1.706093
2501,3.632788,6.5767794
2502,2.6845284,6.1240335
2503,2.6259885,4.578879
2504,3.6585257,4.835833
2505,2.6966596,3.3486762
2506,4.160581,5.623087
2507,2.8593318,3.6496246
2508,3.436709,5.3694997
2509,3.8576446,5.787695
2510,3.2747931,5.766778
2511,2.9897783,6.114027
2512,3.6788144,5.8539796
2513,3.7748523,6.4693894
2514,3.031173,4.4869795
2515,3.5251703,3.8185697
2516,2.8184974,-0.24232484
2517,-2.2576172,1.1545423
2518,-2.5914884,3.8380005
2519,3.844571,0.37819025
2520,2.4290159,2.5800242
2521,3.8903368,0.16492794
2522,-2.1196363,3.1092718
2523,-1.5320756,2.1239927
2524,3.0798495,-0.44834322
2525,-1.1081145,2.0222552
2526,-3.2065945,4.474558
2527,5.326441,-0.030482363
2528,3.441593,6.271051
2529,3.0614345,7.138774
2530,1.8448851,6.8235765
2531,2.238846,6.289683
2532,2.8792646,7.1558566
2533,2.7515857,4.9466352
2534,4.1762524,5.715698
2535,3.387841,4.710149
2536,4.2780814,5.386607
2537,3.0801845,3.942994
2538,4.0489917,3.7670686
2539,2.2027848,2.8770359
2540,3.7767696,3.384733
2541,2.5484016,3.6120186
2542,3.5499585,3.790306
2543,3.5359735,5.031424
2544,3.1934378,4.1025343
2545,3.5029647,-0.7597881
2546,-2.9797983,0.6960059
2547,-12.850396,3.4540033
2548,14.356165,12.648437
2549,16.541414,4.8300323
2550,16.53468,5.3288274
2551,14.106757,12.903464
2552,-12.694179,3.6206734
2553,3.1292279,0.42337796
2554,0.71566355,1.773869
2555,-2.6644437,2.2670712
2556,0.6492538,0.22964558
2557,-0.8941659,0.6627334
2558,-1.7996866,3.0285695
2559,4.738911,0.57290286
2560,2.6785588,3.642596
2561,2.7271912,4.195358
2562,1.928772,3.876604
2563,4.7240443,0.40721762
2564,-2.4106047,2.8700879
2565,-3.346267,3.6928904
2566,4.156971,0.23241499
2567,2.2621107,3.834954
2568,3.0851057,2.4140046
2569,3.067841,2.65695
2570,3.3156598,-0.89136374
2571,-2.8598967,2.6634078
2572,0.12552702,2.530975
2573,0.22347626,2.8758185
2574,-2.6181717,5.131468
2575,0.13044612,2.793189
2576,-2.2433608,4.308948
2577,4.71788,1.7871863
2578,2.3268738,7.23174
2579,2.250094,5.0668707
2580,3.62581,6.577701
2581,3.1471648,4.3037643
2582,2.7882159,0.07711724
2583,-0.42544466,-0.39146483
2584,-0.26662573,0.90965796
2585,-0.4319701,-0.3445272
2586,0.2627952,-1.0388901
2587,-0.16834685,-0.1236643
2588,0.6652341,0.8663792
2589,1.8414563,-0.978259
2590,2.7019298,2.518863
2591,2.5822024,3.4744775
2592,3.002277,5.0140405
2593,2.5135348,5.410865
2594,3.7502086,4.7678986
2595,3.4893916,5.0908914
2596,4.3286753,5.671207
2597,2.6958382,4.656706
2598,1.9613165,5.43116
2599,4.920945,1.8432405
2600,-1.1589174,2.3697665
2601,-1.424522,3.9373791
2602,-0.10448459,0.5206331
2603,0.6242017,-0.58573097
2604,3.7786999,-0.6260933
2605,-0.10028365,2.4475338
2606,-1.0951755,3.000065
2607,0.1701316,2.7590146
2608,-2.6822617,5.1381617
2609,4.903796,0.69154376
2610,-2.956652,4.788689
2611,-3.1750245,4.744524
2612,4.679358,1.3856446
2613,2.353122,5.0968184
2614,3.2350814,6.8613577
2615,-2.1627,3.6620872
2616,0.17868973,2.8480816
2617,-1.0379567,1.9120432
2618,-2.3805778,2.170221
2619,4.5052757,-0.7404992
2620,-2.4273834,4.7606554
2621,-1.5029975,4.3183193
2622,1.9516366,7.7393775
2623,2.1314273,8.357423
2624,3.0157824,9.840836
2625,2.2121422,6.9571433
2626,-2.6633852,5.240705
2627,-2.84306,4.4259458
2628,1.0209538,1.3690416
2629,-0.94638234,0.6130882
2630,-2.745903,5.0621157
2631,5.772518,0.33404624
2632,2.1252844,3.8142598
2633,3.3392262,5.51277
2634,4.016718,4.9018755
2635,4.0962644,4.1530223
2636,4.0084963,4.6568255
2637,4.3776946,4.5408893
2638,4.0277195,-0.31365305
2639,-3.3304794,1.3346529
2640,0.3707953,0.31815043
2641,-0.5835293,1.033811
2642,-0.4262782,0.19863315
2643,0.23766588,1.4679544
2644,-2.828266,3.7187738
2645,5.9288573,0.6432718
2646,6.04238,1.3729254
2647,-2.5089052,2.6904616
2648,-3.3043315,2.0142112
2649,2.9682207,0.143379
2650,2.4300435,3.2042663
2651,3.3794143,0.42437506
2652,-2.4025779,0.44265437
2653,-2.385016,-0.008817505
2654,3.172636,0.699397
2655,2.891775,3.1823134
2656,2.7266006,4.652505
2657,4.028658,4.9343443
2658,2.9640036,4.5451293
2659,2.5207546,4.961551
2660,2.344216,0.19743349
2661,3.9659443,5.0567183
2662,4.1837983,3.6198244
2663,3.4830155,3.379414
2664,2.9818633,3.2284746
2665,2.7132683,4.2550597
2666,4.0941133,6.693717
2667,3.904482,7.1254845
2668,3.398147,7.823476
2669,2.9409645,7.027165
2670,6.2819524,1.3447064
2671,-1.6665897,5.130485
2672,-2.3860312,5.3556314
2673,-0.031917334,2.812329
2674,-1.1417539,2.3335958
2675,0.6715335,0.45270935
2676,0.32627428,0.26077422
2677,-0.8268454,1.1177505
2678,-1.3082772,1.2012191
2679,3.4445784,0.2055619
2680,-2.6213865,4.7538147
2681,-2.0160084,4.965933
2682,5.653523,1.6887835
2683,-1.2601123,3.693154
2684,-2.6272557,3.8674567
2685,2.9299664,0.2687754
2686,3.6548269,-0.5296684
2687,-3.2073383,1.568242
2688,-1.8392917,1.1323323
2689,3.7242484,-0.635745
2690,4.941091,-0.22386508
2691,-2.5084922,0.633268
2692,-3.0596673,1.0555708
2693,2.7932315,-0.9471635
2694,-1.5664053,-0.09526722
2695,-1.7647705,1.217337
2696,3.5933535,-0.5006457
2697,-12.691822,3.6233494
2698,14.428731,12.573306
2699,16.592506,4.738589
2700,16.62296,5.2206945
2701,14.291519,12.719452
2702,-12.850223,3.454243
2703,-0.66614413,-1.0046216
2704,-0.68604475,-1.0038759
2705,1.7181832,-0.9688077
2706,-0.4925103,-0.31923458
2707,2.668537,3.272605
2708,2.5455198,5.330068
2709,2.081534,3.7915468
2710,2.0879338,5.6670218
2711,5.3987317,0.5559505
2712,-1.749486,3.0464127
2713,-0.34377033,0.94415843
2714,-0.4937791,1.1345993
2715,-1.5150714,3.1234202
2716,5.416927,0.5274426
2717,1.9079349,5.5560026
2718,1.8572342,5.3218393
2719,2.4712265,7.1043806
2720,6.0229225,1.5499333
2721,-2.4611554,4.898649
2722,-0.48274493,2.4402733
2723,0.8503308,0.33764878
2724,-2.105224,-0.15662527
2725,0.06365401,-0.9788882
2726,2.4959226,-0.034497753
2727,3.494292,3.053471
2728,4.1890454,5.609793
2729,4.1469593,4.016752
2730,3.4704902,0.5412277
2731,-2.7555547,0.9869995
2732,0.2891712,0.81383944
2733,-0.060903866,-0.85543066
2734,-0.10763161,-0.82561535
2735,3.0926545,-0.72354066
2736,1.7361068,-0.2580254
2737,1.7811536,-0.89832133
2738,-2.4384882,0.55044454
2739,-2.702709,0.81051165
2740,4.645411,-0.2628564
2741,3.1847165,4.6035514
2742,5.9641037,0.4657351
2743,-2.783732,2.5181274
2744,-3.3391755,4.0082784
2745,3.0240424,-0.6917684
2746,-1.1877252,0.6010636
2747,-0.60283756,0.72251827
2748,-0.050457653,-0.7394001
2749,-2.9953125,0.7784473
2750,1.9417329,-1.0026109
2751,1.730866,-0.25629747
2752,3.2867646,2.4531777
2753,2.6667063,2.636731
2754,2.6346838,3.2794657
2755,4.749029,0.40768594
2756,-1.3685085,1.4732589
2757,-1.8028814,1.5731574
2758,3.2799063,-0.89514196
2759,-3.6865182,2.480322
2760,-3.4910898,1.9770124
2761,3.8231282,-0.42948455
2762,3.9432359,3.716804
2763,2.6332097,3.4255254
2764,4.0607667,3.895425
2765,3.186212,0.13399245
2766,-3.456062,2.023724
2767,-2.556136,2.538029
2768,2.938738,-0.43507126
2769,-2.6285684,0.7500804
2770,-3.4597583,1.4639891
2771,5.0776887,0.5741906
2772,2.6153653,6.5630774
2773,4.227818,1.4185934
2774,-2.4712663,1.704746
2775,-2.5837119,0.90721864
2776,3.6438625,-0.6612503
2777,3.9240744,3.5106604
2778,4.116696,3.5743642
2779,4.0286274,3.896322
2780,4.123119,4.0871177
2781,4.0853324,0.23771563
2782,-2.3732274,3.0566862
2783,-0.15222862,2.0931976
2784,-0.14778267,1.8900208
2785,-2.810966,2.7577844
2786,3.726387,0.52097225
2787,3.8012695,3.7993004
2788,3.3047082,3.180908
2789,3.2766285,2.7149851
2790,2.4338298,-0.1320122
2791,0.056300677,2.2370534
2792,-1.6649946,4.1054707
2793,-0.4689216,1.6651171
2794,2.478762,-0.04031105
2795,1.9114612,-0.981419
2796,-1.7591413,-0.44492918
2797,-0.00084088364,-0.70361096
2798,0.6285693,-0.11679788
2799,-0.6184068,0.2734835
2800,0.37930152,0.30209205
2801,-2.988972,1.1055574
2802,2.4492052,-0.12991633
2803,-0.015303707,0.010142234
2804,-1.7371286,0.12362294
2805,-0.15635331,-0.5397409
2806,2.429597,-0.7728952
2807,3.0548587,2.4774513
2808,2.683717,3.0087464
2809,3.2595656,3.1730385
2810,2.9957004,3.2786245
2811,2.2517424,-0.6251333
2812,-0.029014263,-0.028582292
2813,0.35898113,0.19345313
2814,0.3892194,1.286724
2815,-0.454887,1.1111648
2816,4.069547,1.2141347
2817,5.453799,1.4914036
2818,-1.960794,3.844951
2819,-2.4212754,3.1130722
2820,4.074425,-0.2455861
2821,3.6415598,3.0141928
2822,4.216985,3.5861268
2823,2.6640785,2.6469135
2824,4.085719,5.2304783
2825,2.7525532,5.181507
2826,2.0557342,3.7998986
2827,3.9635296,0.7537883
2828,-1.2848374,0.94700694
2829,-2.518641,1.6177273
2830,2.793028,-0.31702912
2831,-2.9480002,2.7182124
2832,-0.62617195,2.4849398
2833,-0.8478807,1.9734656
2834,-2.1733801,4.203353
2835,3.8938951,6.25018
2836,3.614036,7.124812
2837,2.224767,5.8502994
2838,2.8793588,7.0040913
2839,2.4295976,7.835553
2840,2.2417138,7.042819
2841,2.6885774,7.783854
2842,2.1039183,5.8757014
2843,6.133143,1.1841401
2844,-2.9999013,4.965281
2845,-2.0657492,3.6299036
2846,5.9398475,0.8448905
2847,-1.3144355,3.8174555
2848,14.409425,12.593781
2849,16.68765,4.6853905
2850,16.752802,4.8243184
2851,14.194648,12.825317
2852,-12.519968,3.8016477
2853,-3.5243208,2.452877
2854,-1.3669684,1.4968159
2855,6.3829975,1.2196469
2856,-1.4513971,4.471728
2857,2.0410514,6.8901906
2858,4.3368077,1.36791
2859,-1.4747841,0.41548127
2860,-3.1689174,0.8347662
2861,3.3577895,-0.8150583
2862,3.238023,2.5147192
2863,5.1148753,-0.19933665
2864,-2.9989781,0.8390381
2865,-2.6499994,1.6016629
2866,4.833804,0.7096457
2867,2.7229707,4.2257705
2868,2.470233,4.788403
2869,3.5713165,5.8980255
2870,-3.2398012,4.9078865
2871,3.5950375,4.8240643
2872,4.7986283,0.8603839
2873,3.8949895,6.2279983
2874,3.3478062,4.3899508
2875,3.2319705,5.5095816
2876,4.284401,0.053163435
2877,-3.0026715,1.4511806
2878,-3.6447868,2.321571
2879,2.7498848,-0.6711583
2880,3.2530668,4.818323
2881,3.421902,4.2039185
2882,4.120877,4.2022696
2883,4.030351,3.9898307
2884,3.7317224,3.583123
2885,2.3957624,-0.09756908
2886,-1.4252955,-0.5925484
2887,-2.0758297,-0.25817168
2888,-0.29540545,0.6025692
2889,4.077741,0.3806454
2890,1.8156687,5.4592915
